episodes,mean 100 episode reward,% time spent exploring,steps,most_used_dataset,q_t,mean 100 episode ei,mean 100 episode length,number_of_used,td_erros,lives
100,0.5515,99,890,0,nan,4.9548,10.0,20.0,nan,100
200,-0.1663,99,1801,4,nan,4.5382,10.11,21.0,nan,200
300,0.3128,99,2720,4,nan,4.8225,10.19,21.0,nan,300
400,-0.6954,99,3634,4,nan,4.2357,10.14,21.0,nan,400
500,0.1578,99,4538,4,nan,4.4384,10.04,21.0,nan,500
600,-0.0227,99,5431,4,0.0158,4.7108,9.93,21.0,-1.0532,600
700,-0.0391,99,6327,4,0.0931,4.6469,9.96,21.0,-1.2846,700
800,0.0826,99,7227,4,0.2285,4.5198,10.0,21.0,-1.253,800
900,0.876,99,8138,4,0.44,5.0829,10.11,21.0,-1.2154,900
1000,0.0305,99,9006,4,0.7984,4.5366,9.68,21.0,-1.107,1000
1100,0.3062,99,9916,4,1.1963,4.5267,10.1,21.0,-1.1441,1100
1200,-0.203,99,10724,4,1.6401,4.0334,9.08,21.0,-1.0905,1200
1300,0.2598,99,11615,4,2.1899,4.2802,9.91,21.0,-0.9089,1300
1400,-0.2453,99,12465,4,2.8772,4.2982,9.5,21.0,-0.7229,1400
1500,0.1691,99,13326,4,3.7595,4.7561,9.61,21.0,-0.3371,1500
1600,-0.2237,99,14135,4,5.1366,3.9949,9.09,21.0,0.567,1600
1700,0.3003,99,15012,4,6.4814,4.8688,9.77,21.0,1.1874,1700
1800,-0.1578,99,15987,4,7.8215,5.4398,10.75,21.0,1.7595,1800
1900,-0.3536,98,16891,4,9.1925,4.6978,10.04,21.0,2.3372,1900
2000,0.615,98,17723,4,10.3246,4.25,9.32,21.0,2.8029,2000
2100,0.2926,98,18588,4,11.3673,4.3544,9.65,21.0,3.224,2100
2200,0.2105,98,19451,4,12.4187,4.6756,9.63,21.0,3.7376,2200
2300,-0.0795,98,20284,4,13.3468,4.221,9.33,21.0,4.2486,2300
2400,0.4324,98,21125,4,14.253,4.1936,9.41,21.0,4.8535,2400
2500,0.3209,98,21988,4,15.0775,4.4419,9.63,21.0,5.7573,2500
2600,-0.1475,98,22825,4,15.81,4.0953,9.37,21.0,6.2128,2600
2700,0.1482,98,23660,4,16.562,4.3378,9.35,21.0,6.4759,2700
2800,-0.2524,98,24544,4,17.1773,4.6772,9.84,21.0,6.9329,2800
2900,0.2471,98,25429,4,17.6947,4.6387,9.85,21.0,6.8629,2900
3000,-0.3384,98,26330,4,18.2039,4.5776,10.01,21.0,7.1391,3000
3100,0.7445,98,27188,4,18.6981,4.3886,9.58,21.0,7.3893,3100
3200,-0.3076,98,28110,4,19.1996,4.5462,10.22,21.0,7.6458,3200
3300,0.2085,98,28976,4,19.6556,4.4252,9.66,21.0,8.1795,3300
3400,0.098,98,29849,4,20.1843,4.4536,9.73,21.0,8.896,3400
3500,0.0698,98,30708,4,20.7303,4.5034,9.59,21.0,9.6656,3500
3600,-0.2836,98,31626,4,21.1521,4.6495,10.18,21.0,10.1012,3600
3700,0.5954,97,32476,4,21.449,4.4214,9.5,21.0,10.3401,3700
3800,0.2765,97,33393,4,21.7264,4.7879,10.17,21.0,10.3195,3800
3900,-0.1033,97,34239,4,22.0536,4.3701,9.46,21.0,10.4631,3900
4000,-0.5148,97,35141,4,22.2928,4.3848,10.02,21.0,10.6426,4000
4100,0.4376,97,35954,4,22.5807,4.1408,9.13,21.0,10.8224,4100
4200,-0.2245,97,36809,4,22.9016,4.5354,9.55,21.0,10.7978,4200
4300,0.0381,97,37651,4,23.1887,4.7392,9.42,21.0,11.1025,4300
4400,0.2947,97,38520,4,23.5044,4.4573,9.69,21.0,11.3327,4400
4500,0.4279,97,39357,4,24.0609,4.5223,9.37,21.0,11.5116,4500
4600,0.0013,97,40170,4,24.5447,4.2982,9.13,21.0,12.4213,4600
4700,-0.2574,97,41042,4,24.7887,4.4547,9.72,21.0,12.3924,4700
4800,0.2385,97,41890,4,25.0762,4.4392,9.48,21.0,12.4042,4800
4900,0.0848,97,42770,4,25.4348,4.641,9.8,21.0,12.2919,4900
5000,-0.0222,97,43697,4,25.7474,4.4308,10.27,21.0,12.7682,5000
5100,-0.0459,97,44533,4,26.1204,4.2359,9.36,21.0,12.6966,5100
5200,0.3125,97,45350,4,26.4429,4.2867,9.17,21.0,13.0898,5200
