episodes,approx_kl,mean 100 episode length,lives,steps,most_used_dataset,value_loss,entropy,mean 100 episode reward,number_of_used,policy_loss
100,0,8.41,100,740,0,0,0,-0.4173,20.0,0
200,-0.3183,8.14,200,1454,4,6.0865,3.4364,0.7748,21.0,0.0645
300,-0.1066,7.54,300,2108,4,2.3302,3.3273,2.048,21.0,0.0468
400,-0.0655,8.04,400,2812,4,3.2156,3.3473,2.3245,21.0,0.0253
500,-0.0603,7.83,500,3495,4,3.8896,3.2896,2.4678,21.0,0.0323
600,-0.1304,7.97,600,4192,4,3.8439,3.2819,3.1045,21.0,0.0672
700,-0.1276,8.27,700,4919,4,4.0261,3.3152,3.5037,21.0,0.0438
800,-0.1385,7.74,800,5593,4,3.0246,3.3521,2.3484,21.0,0.0709
900,-0.1115,7.43,900,6236,4,4.9087,3.2796,3.6172,21.0,0.0573
1000,-0.1152,7.36,1000,6872,4,4.549,3.2594,3.2707,21.0,0.0571
1100,-0.1403,6.92,1100,7464,4,4.6108,3.1539,2.9723,21.0,0.0657
1200,-0.1225,7.33,1200,8097,4,3.9632,3.164,3.5869,21.0,0.057
1300,-0.1174,7.19,1300,8716,4,4.2557,3.1702,3.8976,21.0,0.0524
1400,-0.0963,7.54,1400,9370,4,4.3497,3.1363,3.9507,21.0,0.0485
1500,-0.1594,7.31,1500,10001,4,4.9191,3.1376,3.6857,21.0,0.0565
1600,-0.1991,7.53,1600,10654,4,4.9627,3.157,3.5831,21.0,0.0855
1700,-0.2134,7.17,1700,11271,4,5.2539,3.1276,3.2295,21.0,0.0872
1800,-0.1163,6.69,1800,11840,4,4.6985,2.954,3.2728,21.0,0.0516
1900,-0.101,5.72,1900,12312,4,5.3682,2.7266,2.2314,21.0,0.0094
2000,-0.0575,6.71,2000,12883,4,6.2434,2.6944,3.5676,21.0,0.0163
2100,-0.0924,5.4,2100,13323,4,6.8499,2.5262,2.9044,21.0,-0.012
2200,-0.0839,6.35,2200,13858,4,5.3784,2.7156,2.5879,21.0,-0.0108
2300,-0.0716,6.43,2300,14401,4,6.3328,2.5958,3.741,21.0,-0.0107
2400,-0.0551,6.58,2400,14959,4,5.6183,2.6207,3.5068,21.0,-0.0177
2500,-0.0748,7.04,2500,15563,4,5.9857,2.6633,3.7669,21.0,-0.0177
2600,-0.0886,6.65,2600,16128,4,6.0389,2.6776,3.1599,21.0,-0.0134
2700,-0.0606,6.83,2700,16711,4,6.2056,2.6663,3.6138,21.0,-0.0191
2800,-0.1083,6.79,2800,17290,4,6.07,2.5659,3.712,21.0,-0.0266
2900,-0.0766,6.73,2900,17863,4,6.7386,2.57,4.0479,21.0,-0.0215
3000,-0.0584,6.87,3000,18450,4,6.9116,2.6664,3.5804,21.0,-0.016
3100,-0.0899,6.17,3100,18967,4,6.0026,2.5725,3.0615,21.0,-0.0236
3200,-0.0897,5.95,3200,19462,4,6.1676,2.4944,3.133,21.0,-0.0249
3300,-0.0709,6.45,3300,20007,4,7.1859,2.4838,3.7727,21.0,-0.0086
3400,-0.0482,6.89,3400,20596,4,7.2674,2.617,3.9263,21.0,-0.0115
3500,-0.0588,6.82,3500,21178,4,7.6928,2.6095,3.7977,21.0,-0.0274
3600,-0.0763,7.05,3600,21783,4,7.712,2.5921,4.3192,21.0,-0.0188
3700,-0.0573,7.09,3700,22392,4,8.1307,2.5779,4.8208,21.0,-0.0145
3800,-0.0546,7.66,3800,23058,4,7.6164,2.6172,4.7312,21.0,-0.0112
3900,-0.0514,7.02,3900,23660,4,8.6089,2.5818,4.6563,21.0,-0.0153
4000,-0.1136,6.27,4000,24187,4,8.2723,2.5611,4.0233,21.0,-0.0187
4100,-0.0522,7.1,4100,24797,4,7.2788,2.6212,4.1748,21.0,-0.0133
4200,-0.0705,7.35,4200,25432,4,7.6093,2.6292,4.4433,21.0,-0.0208
4300,-0.0451,7.49,4300,26081,4,7.534,2.6423,4.8665,21.0,-0.0161
4400,-0.0403,7.55,4400,26736,4,7.3128,2.7195,4.5732,21.0,-0.0116
4500,-0.0517,7.35,4500,27371,4,7.6657,2.6849,4.3435,21.0,-0.0156
4600,-0.0792,6.9,4600,27961,4,6.7185,2.601,4.1117,21.0,-0.0212
4700,-0.065,6.6,4700,28521,4,7.2733,2.5211,4.255,21.0,-0.0206
4800,-0.0786,6.45,4800,29066,4,8.2641,2.5656,4.3097,21.0,-0.0212
4900,-0.0599,6.84,4900,29650,4,8.3466,2.6031,4.7536,21.0,-0.0157
5000,-0.0714,7.13,5000,30263,4,8.2372,2.5816,4.5549,21.0,-0.0209
5100,-0.0881,5.65,5100,30728,4,9.0508,2.3947,3.5359,21.0,-0.0254
5200,-0.0867,5.91,5200,31219,4,8.9003,2.4842,3.8177,21.0,-0.0175
5300,-0.0746,7.08,5300,31827,4,8.2839,2.6332,4.5124,21.0,-0.02
5400,-0.0796,7.1,5400,32437,4,8.5521,2.6339,4.4589,21.0,-0.0144
5500,-0.0533,7.48,5500,33085,4,9.0189,2.718,4.8228,21.0,-0.0196
5600,-0.0953,7.57,5600,33742,4,7.7022,2.725,4.7713,21.0,-0.0171
5700,-0.07,7.92,5700,34434,4,8.288,2.7035,4.8519,21.0,-0.0127
5800,-0.0822,6.97,5800,35031,4,7.4753,2.6482,3.9741,21.0,-0.0169
5900,-0.0669,7.27,5900,35658,4,8.6557,2.608,4.8035,21.0,-0.0194
6000,-0.0763,7.24,6000,36282,4,7.8662,2.6221,4.6016,21.0,-0.0184
6100,-0.0847,6.62,6100,36844,4,9.024,2.481,4.6529,21.0,-0.0129
6200,-0.1138,6.34,6200,37378,4,8.8266,2.4299,4.381,21.0,-0.0233
6300,-0.0753,6.86,6300,37964,4,9.8187,2.5978,4.6604,21.0,-0.0183
6400,-0.1025,6.75,6400,38539,4,9.4304,2.5817,4.4908,21.0,-0.0204
6500,-0.0503,7.78,6500,39217,4,8.3627,2.742,4.8392,21.0,-0.0161
6600,-0.0741,7.08,6600,39825,4,9.6358,2.6318,4.52,21.0,-0.0236
6700,-0.076,7.13,6700,40438,4,8.321,2.7182,4.1696,21.0,-0.0178
6800,-0.084,6.64,6800,41002,4,8.4706,2.633,3.7912,21.0,-0.0257
6900,-0.0729,6.78,6900,41580,4,9.3867,2.6386,4.2737,21.0,-0.0143
7000,-0.0663,6.11,7000,42091,4,9.2397,2.5416,3.8106,21.0,-0.0262
7100,-0.0662,5.95,7100,42586,4,9.7953,2.507,3.192,21.0,-0.027
7200,-0.0719,6.59,7200,43145,4,8.8912,2.5744,4.0112,21.0,-0.0207
7300,-0.0591,6.74,7300,43719,4,9.9143,2.6213,4.2848,21.0,-0.011
7400,-0.0854,6.52,7400,44271,4,8.3677,2.6209,3.394,21.0,-0.0174
7500,-0.0813,6.11,7500,44782,4,8.8777,2.5507,3.0869,21.0,-0.022
7600,-0.0421,7.1,7600,45392,4,8.0999,2.6931,3.6494,21.0,-0.0135
7700,-0.0563,6.54,7700,45946,4,9.5024,2.5868,4.2024,21.0,-0.0087
7800,-0.0604,6.07,7800,46453,4,9.4235,2.5192,3.3508,21.0,-0.0279
7900,-0.0934,5.93,7900,46946,4,8.344,2.4809,3.1608,21.0,-0.0264
8000,-0.0732,6.76,8000,47522,4,9.3522,2.5761,4.3598,21.0,-0.0194
8100,-0.0894,6.37,8100,48059,4,9.7131,2.5107,3.4868,21.0,-0.0238
8200,-0.0759,6.72,8200,48631,4,9.404,2.5971,3.8055,21.0,-0.0149
8300,-0.0912,6.39,8300,49170,4,9.1122,2.5625,3.7378,21.0,-0.0225
8400,-0.0867,6.73,8400,49743,4,9.7965,2.5923,3.6329,21.0,-0.0092
8500,-0.073,6.67,8500,50310,4,9.2237,2.6207,4.0397,21.0,-0.0179
8600,-0.065,7.23,8600,50933,4,10.9902,2.6179,4.9417,21.0,-0.0192
8700,-0.0922,6.6,8700,51493,4,10.517,2.5532,4.152,21.0,-0.0205
8800,-0.0606,6.21,8800,52014,4,10.7658,2.5344,3.9282,21.0,-0.0205
8900,-0.0816,6.23,8900,52537,4,10.9318,2.5299,3.9599,21.0,-0.0247
9000,-0.0928,6.77,9000,53114,4,10.3416,2.5868,3.8779,21.0,-0.0161
9100,-0.0818,6.77,9100,53691,4,9.6548,2.5888,3.8975,21.0,-0.0215
9200,-0.0761,5.63,9200,54154,4,11.2504,2.4046,3.1278,21.0,-0.0275
9300,-0.0738,6.72,9300,54726,4,9.74,2.5521,4.1785,21.0,-0.0165
9400,-0.0743,6.56,9400,55282,4,9.5397,2.55,3.7643,21.0,-0.0222
9500,-0.0867,6.09,9500,55791,4,9.7845,2.4831,3.01,21.0,-0.0257
9600,-0.0858,7.04,9600,56395,4,8.4693,2.5634,3.8929,21.0,-0.0136
9700,-0.0766,7.09,9700,57004,4,9.5876,2.5484,4.6144,21.0,-0.017
9800,-0.0942,5.82,9800,57486,4,10.4795,2.3304,3.3705,21.0,-0.0183
9900,-0.077,6.18,9900,58004,4,11.4081,2.3941,3.707,21.0,-0.0179
10000,-0.0619,6.62,10000,58566,4,10.8235,2.3858,4.2129,21.0,-0.0089
10100,-0.0579,6.18,10100,59084,4,11.204,2.3009,3.6445,21.0,-0.0143
10200,-0.0774,6.53,10200,59637,4,10.4543,2.4323,4.037,21.0,-0.0109
10300,-0.0837,6.56,10300,60193,4,10.4426,2.3677,4.5255,21.0,-0.0175
10400,-0.0804,6.23,10400,60716,4,11.2789,2.3218,3.8383,21.0,-0.0143
10500,-0.045,6.78,10500,61294,4,9.8085,2.5139,3.8519,21.0,-0.0145
10600,-0.0565,7.04,10600,61898,4,10.7017,2.5151,4.1806,21.0,-0.0115
10700,-0.0388,7.19,10700,62517,4,10.5397,2.5357,4.4776,21.0,-0.0109
10800,-0.0727,6.24,10800,63041,4,11.6434,2.4334,3.8939,21.0,-0.0184
10900,-0.0474,6.99,10900,63640,4,10.2641,2.508,3.8884,21.0,-0.0189
11000,-0.0616,6.61,11000,64201,4,10.9236,2.4075,4.1656,21.0,-0.0194
11100,-0.064,6.88,11100,64789,4,10.9274,2.4495,4.8444,21.0,-0.0154
11200,-0.0668,7.07,11200,65396,4,11.2249,2.4859,4.3382,21.0,-0.0107
11300,-0.0646,6.92,11300,65988,4,11.2898,2.4996,3.8626,21.0,-0.0162
11400,-0.0811,6.78,11400,66566,4,11.0446,2.5621,4.2965,21.0,-0.0238
11500,-0.0671,6.34,11500,67100,4,9.9669,2.478,3.0203,21.0,-0.0192
11600,-0.0876,7.2,11600,67720,4,10.6921,2.6092,4.4036,21.0,-0.0106
11700,-0.0432,6.87,11700,68307,4,10.2783,2.5204,4.0551,21.0,-0.0214
11800,-0.0586,7.23,11800,68930,4,11.1966,2.5564,4.1382,21.0,-0.0185
11900,-0.0354,7.68,11900,69598,4,10.4003,2.6402,4.513,21.0,-0.0186
12000,-0.0678,6.92,12000,70190,4,10.0697,2.5922,3.8501,21.0,-0.0187
12100,-0.0776,6.36,12100,70726,4,10.3976,2.4699,3.8388,21.0,-0.0233
12200,-0.1147,5.89,12200,71215,4,11.094,2.3725,3.1919,21.0,-0.0176
12300,-0.0713,6.61,12300,71776,4,9.4545,2.5286,3.6881,21.0,-0.0112
12400,-0.0968,6.54,12400,72330,4,10.9284,2.473,4.1779,21.0,-0.021
12500,-0.1014,6.61,12500,72891,4,11.8044,2.4438,4.1442,21.0,-0.0171
12600,-0.0981,6.29,12600,73420,4,12.164,2.4197,3.7519,21.0,-0.0171
12700,-0.1014,6.72,12700,73992,4,10.752,2.4522,3.8625,21.0,-0.0131
12800,-0.0761,7.69,12800,74661,4,10.873,2.5699,4.8515,21.0,-0.012
12900,-0.0724,6.76,12900,75237,4,11.6511,2.5003,4.0343,21.0,-0.0098
13000,-0.0691,7.21,13000,75858,4,10.9829,2.5204,4.0644,21.0,-0.025
13100,-0.0628,7.08,13100,76466,4,11.1009,2.4028,4.2037,21.0,-0.0147
13200,-0.1023,6.58,13200,77024,4,11.4448,2.3889,4.2724,21.0,-0.014
13300,-0.0616,6.09,13300,77533,4,11.3156,2.3462,3.624,21.0,-0.0154
13400,-0.0642,6.9,13400,78123,4,10.8841,2.527,3.9548,21.0,-0.0022
13500,-0.0586,7.72,13500,78795,4,10.254,2.585,4.7297,21.0,-0.0097
13600,-0.0597,7.58,13600,79453,4,11.1448,2.5994,5.0196,21.0,-0.0134
13700,-0.0603,7.02,13700,80055,4,10.7417,2.5164,4.3059,21.0,-0.017
13800,-0.069,7.32,13800,80687,4,11.138,2.5253,4.4259,21.0,-0.0074
13900,-0.0714,6.41,13900,81228,4,12.1249,2.3866,4.1072,21.0,-0.0178
14000,-0.0708,7.28,14000,81856,4,12.0042,2.5031,4.6507,21.0,-0.0171
14100,-0.1066,7.27,14100,82483,4,10.9628,2.5162,4.2392,21.0,-0.0136
14200,-0.0829,7.43,14200,83126,4,11.5381,2.5816,4.6477,21.0,-0.005
14300,-0.0918,7.73,14300,83799,4,9.8995,2.6736,4.4927,21.0,-0.0049
14400,-0.0636,6.98,14400,84397,4,10.5517,2.5734,3.95,21.0,-0.0186
14500,-0.0848,6.6,14500,84957,4,11.2528,2.5577,3.7168,21.0,-0.03
14600,-0.0982,7.7,14600,85627,4,10.5082,2.6069,4.7132,21.0,-0.0151
14700,-0.0639,7.17,14700,86244,4,10.6175,2.5164,4.4476,21.0,-0.0179
14800,-0.0659,6.97,14800,86841,4,11.3391,2.4805,4.6244,21.0,-0.0112
14900,-0.0538,6.79,14900,87420,4,11.6562,2.4244,4.5962,21.0,-0.0091
15000,-0.0784,6.08,15000,87928,4,12.1636,2.3851,3.9068,21.0,-0.0156
15100,-0.0349,6.77,15100,88505,4,12.0785,2.4835,4.4188,21.0,-0.0071
15200,-0.0345,6.91,15200,89096,4,11.7267,2.5044,4.0993,21.0,-0.0073
15300,-0.0304,6.34,15300,89630,4,11.0955,2.4614,3.5718,21.0,-0.0157
15400,-0.0607,7.06,15400,90236,4,11.2203,2.5207,4.0825,21.0,-0.0153
15500,-0.0657,7.41,15500,90877,4,10.7925,2.6163,4.1353,21.0,-0.016
15600,-0.0611,7.54,15600,91531,4,9.503,2.6896,4.409,21.0,-0.0158
15700,-0.0514,7.72,15700,92203,4,8.9886,2.653,4.729,21.0,-0.0162
15800,-0.0659,6.96,15800,92799,4,10.2779,2.5584,4.2514,21.0,-0.0156
15900,-0.0551,7.78,15900,93477,4,10.2321,2.6538,4.4504,21.0,-0.0159
