% time spent exploring,mean 100 episode ei,mean 100 episode reward,mean 100 episode length,steps,episodes,lives,td_erros,most_used_dataset,number_of_used,q_t
99,4.9548,0.5515,10.0,890,100,100,nan,0,20.0,nan
99,4.597,-0.1538,10.24,1814,200,200,nan,4,21.0,nan
99,4.9084,0.5574,10.37,2751,300,300,nan,4,21.0,nan
99,4.7649,0.4664,10.05,3656,400,400,nan,4,21.0,nan
99,4.1216,-0.0872,9.82,4538,500,500,nan,4,21.0,nan
98,4.7452,0.048,9.93,5431,600,600,0.1427,4,21.0,3.5211
98,4.5135,0.2955,9.96,6327,700,700,0.2985,4,21.0,3.7891
98,4.5879,-0.2671,10.17,7244,800,800,0.4542,4,21.0,4.3508
98,4.7639,-0.1865,10.04,8148,900,900,0.6393,4,21.0,4.8582
98,4.6554,0.608,9.79,9027,1000,1000,0.8107,4,21.0,5.3992
98,4.7254,0.3129,10.06,9933,1100,1100,0.9968,4,21.0,5.9674
97,4.4837,-0.1106,9.15,10748,1200,1200,1.1019,4,21.0,6.2047
97,4.4454,0.3005,9.67,11615,1300,1300,1.1895,4,21.0,6.2967
97,4.4038,0.008,9.38,12453,1400,1400,1.2603,4,21.0,6.5133
97,4.4205,0.4174,9.47,13300,1500,1500,1.3857,4,21.0,6.7391
97,4.1197,-0.0222,9.18,14118,1600,1600,1.4793,4,21.0,6.8087
97,5.1845,0.379,10.04,15022,1700,1700,1.401,4,21.0,6.6914
96,5.0386,0.0471,10.53,15975,1800,1800,1.3361,4,21.0,6.5933
96,4.5206,0.062,10.03,16878,1900,1900,1.2023,4,21.0,6.5256
96,4.4243,0.0378,9.08,17686,2000,2000,1.2019,4,21.0,6.4478
96,4.7946,0.552,9.85,18571,2100,2100,1.173,4,21.0,6.3623
96,4.3451,0.0289,9.39,19410,2200,2200,1.1695,4,21.0,6.4355
95,4.5344,0.3433,9.44,20254,2300,2300,1.1596,4,21.0,6.4644
95,4.4415,0.8978,9.23,21077,2400,2400,1.1793,4,21.0,6.4916
95,4.6143,0.4492,9.61,21938,2500,2500,1.2398,4,21.0,6.5312
95,4.313,0.2923,9.24,22762,2600,2600,1.2404,4,21.0,6.4666
95,4.528,0.285,9.62,23624,2700,2700,1.2497,4,21.0,6.4677
95,4.8852,-0.0917,9.92,24516,2800,2800,1.1546,4,21.0,6.3687
94,4.7352,0.7565,10.04,25420,2900,2900,1.0572,4,21.0,6.2047
94,4.7166,0.1491,9.58,26278,3000,3000,1.0186,4,21.0,6.0975
94,4.6237,0.6049,9.41,27119,3100,3100,1.0221,4,21.0,5.9788
94,4.6427,0.0119,10.2,28039,3200,3200,0.9501,4,21.0,5.8834
94,4.9391,0.6534,9.8,28919,3300,3300,0.9297,4,21.0,5.8645
94,4.4672,0.4065,9.48,29767,3400,3400,0.9469,4,21.0,5.8548
93,4.5326,0.3382,9.62,30629,3500,3500,0.9612,4,21.0,5.8093
93,4.6269,0.1426,9.83,31512,3600,3600,0.9023,4,21.0,5.7332
93,4.6747,0.9502,9.28,32340,3700,3700,0.8484,4,21.0,5.6134
93,4.78,0.8848,9.6,33200,3800,3800,0.8233,4,21.0,5.6226
93,4.7964,0.9496,9.83,34083,3900,3900,0.812,4,21.0,5.5461
93,4.4695,-0.0879,9.78,34961,4000,4000,0.7748,4,21.0,5.469
92,4.6596,0.8432,9.43,35804,4100,4100,0.7308,4,21.0,5.3698
92,4.5782,0.2536,9.94,36698,4200,4200,0.6784,4,21.0,5.2795
92,4.46,0.7499,8.75,37473,4300,4300,0.6677,4,21.0,5.2576
92,4.438,0.4742,9.67,38340,4400,4400,0.7006,4,21.0,5.3507
92,4.4276,1.1785,8.9,39130,4500,4500,0.6947,4,21.0,5.3763
92,4.4509,0.5133,9.28,39958,4600,4600,0.7212,4,21.0,5.4274
91,4.4627,0.4523,9.53,40811,4700,4700,0.6714,4,21.0,5.3155
91,5.0882,0.8009,9.29,41640,4800,4800,0.6196,4,21.0,5.2237
91,4.989,0.9514,9.57,42497,4900,4900,0.6113,4,21.0,5.1722
91,5.3688,1.0331,10.02,43399,5000,5000,0.6069,4,21.0,5.1672
91,4.4271,0.6828,9.19,44218,5100,5100,0.6572,4,21.0,5.3006
91,4.598,0.5223,9.21,45039,5200,5200,0.6628,4,21.0,5.2995
90,4.4286,0.9107,9.24,45863,5300,5300,0.7355,4,21.0,5.3983
90,4.5504,0.5049,9.63,46726,5400,5400,0.7941,4,21.0,5.482
90,4.6464,0.805,9.25,47551,5500,5500,0.8006,4,21.0,5.4571
90,4.6761,0.563,9.37,48388,5600,5600,0.7972,4,21.0,5.3426
90,4.135,0.4452,8.86,49174,5700,5700,0.7809,4,21.0,5.2495
90,4.3644,0.6461,9.37,50011,5800,5800,0.7618,4,21.0,5.1495
89,5.0056,0.8319,10.09,50920,5900,5900,0.6796,4,21.0,5.0392
89,4.9439,0.8456,9.88,51808,6000,6000,0.6686,4,21.0,4.9315
89,4.4442,0.3684,8.73,52581,6100,6100,0.6016,4,21.0,4.8389
