mean 100 episode length,episodes,steps,entropy,policy_loss,approx_kl,lives,number_of_used,most_used_dataset,value_loss,mean 100 episode reward
9.73,100,872,0,0,0,100,20.0,0,0,0.0704
9.29,200,1701,3.7337,-0.0116,-0.0,200,21.0,4,4.6246,-0.0973
10.3,300,2631,3.7317,-0.0023,-0.0001,300,21.0,4,1.591,0.019
9.28,400,3459,3.7272,-0.0027,-0.0,400,21.0,4,1.7155,0.1545
10.79,500,4438,3.7156,-0.0039,-0.0001,500,21.0,4,2.2457,0.4509
9.55,600,5293,3.6683,-0.0067,-0.0004,600,21.0,4,1.7651,1.4141
8.95,700,6088,3.5764,-0.0091,-0.0006,700,21.0,4,1.7951,2.1838
8.22,800,6810,3.3799,-0.0096,-0.0031,800,21.0,4,1.887,2.3988
7.66,900,7476,3.3245,-0.0069,-0.0077,900,21.0,4,2.647,2.8135
7.63,1000,8139,3.3453,-0.0061,-0.003,1000,21.0,4,2.3916,3.421
7.27,1100,8766,3.3315,-0.0072,-0.0015,1100,21.0,4,2.155,2.8845
7.3,1200,9396,3.3189,-0.006,-0.0006,1200,21.0,4,2.0256,2.936
7.18,1300,10014,3.2145,-0.0074,-0.0021,1300,21.0,4,1.864,3.5145
7.49,1400,10663,3.246,-0.004,-0.0005,1400,21.0,4,2.3076,3.355
7.91,1500,11354,3.2771,-0.0066,-0.0016,1500,21.0,4,1.8729,3.4638
7.04,1600,11958,3.1769,-0.0095,-0.0003,1600,21.0,4,2.0426,3.7128
7.64,1700,12622,3.2435,-0.0033,0.0023,1700,21.0,4,2.23,3.5006
7.24,1800,13246,3.221,-0.0084,-0.0012,1800,21.0,4,2.0053,3.7848
6.39,1900,13785,3.1319,-0.0064,0.0003,1900,21.0,4,1.756,3.6926
6.78,2000,14363,3.1121,-0.0064,-0.0019,2000,21.0,4,2.1136,3.5833
6.96,2100,14959,3.1023,-0.0068,-0.0008,2100,21.0,4,2.2755,4.1377
7.44,2200,15603,3.1956,-0.0051,-0.0003,2200,21.0,4,1.9237,3.7468
7.51,2300,16254,3.2172,-0.0056,-0.0014,2300,21.0,4,2.3884,4.1156
7.0,2400,16854,3.1563,-0.0092,-0.0025,2400,21.0,4,2.0749,3.4715
7.07,2500,17461,3.0947,-0.0063,-0.002,2500,21.0,4,1.6845,4.0325
6.72,2600,18033,3.0873,-0.0057,-0.0019,2600,21.0,4,1.8593,3.6359
6.5,2700,18583,3.0827,-0.0058,-0.0014,2700,21.0,4,2.4591,3.8766
7.36,2800,19219,3.1289,-0.0065,-0.0018,2800,21.0,4,2.2283,4.0693
7.29,2900,19848,3.1918,-0.0054,-0.0009,2900,21.0,4,1.7955,3.7349
7.25,3000,20473,3.2261,-0.0056,-0.002,3000,21.0,4,1.8627,4.4228
7.44,3100,21117,3.221,-0.0053,-0.0008,3100,21.0,4,2.2142,3.8522
7.98,3200,21815,3.2185,-0.0044,-0.0009,3200,21.0,4,2.7672,4.194
7.3,3300,22445,3.1904,-0.0043,-0.0009,3300,21.0,4,2.5799,4.2269
7.34,3400,23079,3.177,-0.0069,-0.0021,3400,21.0,4,1.9217,4.212
7.32,3500,23711,3.2106,-0.0049,-0.0004,3500,21.0,4,2.2975,4.188
7.05,3600,24316,3.2502,-0.0052,-0.0017,3600,21.0,4,2.0705,4.2276
7.15,3700,24931,3.2227,-0.0066,-0.0017,3700,21.0,4,2.1041,3.713
7.65,3800,25596,3.2035,-0.0058,-0.0017,3800,21.0,4,1.4761,4.2249
7.43,3900,26239,3.1816,-0.0061,-0.0006,3900,21.0,4,1.9514,3.9579
7.0,4000,26839,3.168,-0.0049,-0.0009,4000,21.0,4,2.1223,3.8163
6.79,4100,27418,3.143,-0.0067,-0.0004,4100,21.0,4,2.1544,3.8072
7.3,4200,28048,3.1177,-0.0063,-0.0012,4200,21.0,4,2.0962,4.3998
6.93,4300,28641,3.0887,-0.0054,-0.0014,4300,21.0,4,1.95,3.9543
7.64,4400,29305,3.1271,-0.0059,-0.0012,4400,21.0,4,2.1451,4.2885
7.65,4500,29970,3.1581,-0.0054,-0.0009,4500,21.0,4,2.1499,4.5523
7.08,4600,30578,3.1461,-0.006,-0.001,4600,21.0,4,2.3541,4.053
7.13,4700,31191,3.1447,-0.006,-0.0027,4700,21.0,4,2.1333,4.4128
7.49,4800,31840,3.1759,-0.0054,0.0008,4800,21.0,4,1.8937,4.4696
7.18,4900,32458,3.1959,-0.0064,-0.0013,4900,21.0,4,2.2621,3.9696
7.26,5000,33084,3.1666,-0.0065,-0.0024,5000,21.0,4,2.2331,4.2153
7.32,5100,33716,3.1499,-0.0059,-0.0015,5100,21.0,4,2.0678,4.4698
7.08,5200,34324,3.1143,-0.0067,-0.001,5200,21.0,4,2.0138,4.5614
7.38,5300,34962,3.1409,-0.0053,-0.0004,5300,21.0,4,2.4558,4.6384
7.45,5400,35607,3.1399,-0.0061,-0.001,5400,21.0,4,1.9707,4.2841
6.79,5500,36186,3.1367,-0.0071,0.0002,5500,21.0,4,1.7615,4.4726
7.18,5600,36804,3.1725,-0.0039,-0.0023,5600,21.0,4,2.2671,4.565
6.96,5700,37400,3.1603,-0.0077,-0.0011,5700,21.0,4,1.841,4.2257
7.56,5800,38056,3.1378,-0.0043,-0.0007,5800,21.0,4,1.8945,4.582
7.56,5900,38712,3.1517,-0.0038,-0.0011,5900,21.0,4,2.0175,4.643
6.83,6000,39295,3.1532,-0.0065,-0.0023,6000,21.0,4,2.0539,4.185
7.43,6100,39938,3.1405,-0.0071,-0.0009,6100,21.0,4,1.8059,4.3003
6.96,6200,40534,3.1112,-0.007,-0.0022,6200,21.0,4,2.0668,4.265
7.21,6300,41155,3.1245,-0.0057,-0.0017,6300,21.0,4,1.9892,4.2157
7.42,6400,41797,3.1689,-0.0067,-0.0016,6400,21.0,4,2.0854,4.2823
7.48,6500,42445,3.1421,-0.0057,-0.0019,6500,21.0,4,1.8827,4.2638
7.24,6600,43069,3.164,-0.0047,-0.0018,6600,21.0,4,2.1676,4.5424
7.12,6700,43681,3.1477,-0.0057,-0.0018,6700,21.0,4,2.0629,3.99
6.72,6800,44253,3.1373,-0.0058,-0.0022,6800,21.0,4,1.812,3.9454
7.47,6900,44900,3.133,-0.0045,-0.001,6900,21.0,4,2.2692,4.358
7.02,7000,45502,3.1397,-0.0061,-0.0012,7000,21.0,4,2.3294,3.9721
7.59,7100,46161,3.1507,-0.0074,-0.0011,7100,21.0,4,2.2653,3.9212
7.26,7200,46787,3.1396,-0.0049,-0.0016,7200,21.0,4,2.171,4.3446
7.05,7300,47392,3.1702,-0.0042,-0.0002,7300,21.0,4,1.7648,4.14
6.89,7400,47981,3.1762,-0.0061,-0.0003,7400,21.0,4,2.265,3.9448
7.61,7500,48642,3.1605,-0.0067,-0.0018,7500,21.0,4,2.2847,4.4524
6.95,7600,49237,3.1278,-0.0055,-0.0015,7600,21.0,4,1.8835,4.2746
7.59,7700,49896,3.1559,-0.0069,-0.0017,7700,21.0,4,2.0059,4.7298
6.89,7800,50485,3.1432,-0.0057,0.0005,7800,21.0,4,1.8394,4.1864
7.38,7900,51123,3.1147,-0.005,-0.0007,7900,21.0,4,2.186,4.6921
7.0,8000,51723,3.1352,-0.0054,-0.0012,8000,21.0,4,1.7168,3.9365
7.41,8100,52364,3.1067,-0.0065,-0.0006,8100,21.0,4,2.2976,4.3367
6.89,8200,52953,3.106,-0.005,-0.0009,8200,21.0,4,2.2428,4.618
7.36,8300,53589,3.1076,-0.0042,-0.0007,8300,21.0,4,2.0992,4.7386
7.47,8400,54236,3.1274,-0.005,-0.0016,8400,21.0,4,1.936,4.6726
6.56,8500,54792,3.0902,-0.0067,-0.0017,8500,21.0,4,1.8979,4.0729
6.87,8600,55379,3.0876,-0.0038,-0.0015,8600,21.0,4,2.5675,3.9681
7.1,8700,55989,3.0976,-0.0048,-0.0013,8700,21.0,4,2.3441,4.3399
7.41,8800,56630,3.0772,-0.0072,-0.0016,8800,21.0,4,2.2352,4.7159
7.37,8900,57267,3.0777,-0.0059,-0.0032,8900,21.0,4,1.7678,4.2549
6.85,9000,57852,3.0747,-0.0068,-0.0018,9000,21.0,4,1.9696,4.3294
6.78,9100,58430,3.0122,-0.0084,-0.0025,9100,21.0,4,1.7167,4.2009
6.46,9200,58976,3.0147,-0.0077,-0.0025,9200,21.0,4,1.9192,4.0066
7.06,9300,59582,3.0526,-0.0065,-0.0019,9300,21.0,4,1.4207,4.4996
6.88,9400,60170,3.0285,-0.0079,-0.0008,9400,21.0,4,2.0089,4.0368
7.0,9500,60770,3.0431,-0.0049,-0.0031,9500,21.0,4,2.0225,4.5817
6.54,9600,61324,3.0238,-0.0091,-0.0046,9600,21.0,4,1.6828,4.431
6.78,9700,61902,2.9702,-0.0086,-0.0029,9700,21.0,4,2.0891,4.4752
6.68,9800,62470,3.0025,-0.006,-0.0026,9800,21.0,4,1.9646,3.8958
6.72,9900,63042,3.0699,-0.0062,-0.0021,9900,21.0,4,2.2419,4.4733
7.11,10000,63653,3.0933,-0.007,-0.0038,10000,21.0,4,2.0045,4.499
